Number,guest,url,
38," Karl James",,
40," The Interview Process",,
60," Phil Leirness'a0",,
78," Louise'a0",http://feeds.soundcloud.com/stream/61248182-gettingbetteracquainted-gba-78-louise.mp3,
113," Donna",http://feeds.soundcloud.com/stream/95557224-gettingbetteracquainted-gba-113-donna.mp3,
149," Kathleen",http://feeds.soundcloud.com/stream/136720700-gettingbetteracquainted-gba-149-kathleen.mp3,
186,"  Connor",http://feeds.soundcloud.com/stream/177690850-gettingbetteracquainted-gba-186-connor.mp3,
16," Owain",,
18," Sam",,
58," Radcliffe'a0",,
74," Mervyn",http://feeds.soundcloud.com/stream/57996156-gettingbetteracquainted-gba-74-mervyn.mp3,
106," Jack and George",http://feeds.soundcloud.com/stream/88153423-gettingbetteracquainted-gba-106-jack-and-george.mp3,
125," Auntie Margeret",http://feeds.soundcloud.com/stream/106512817-gettingbetteracquainted-gba-125-margaret.mp3,
201," Mel Jones",http://feeds.soundcloud.com/stream/197599211-gettingbetteracquainted-gba-201-mel-jones.mp3,
243," Azariah'a0",http://feeds.soundcloud.com/stream/251035087-gettingbetteracquainted-gba-243-azariah.mp3,
,,,
